Seed,Average MSE,IRE Prediction Accuracy (%),Average Coherence,Average Dominant Frequency
9159,0.09471014095909976,99.97999599919984,0.9645085541917544,0.0
3796,0.68627059378206,99.97999599919984,19.11040429221447,0.0
5799,0.09472289669604586,99.97999599919984,2.2613361366615914,0.0
8333,0.42597613423155084,99.97999599919984,12.054685920744491,0.0
6556,0.5847238787506599,99.97999599919984,59.24625711630116,0.0
2178,0.41347022308838494,99.97999599919984,14.210233188458718,0.0
2715,1.6786896826329536,99.97999599919984,12.339614020768762,0.0
9747,0.11795032418672424,99.97999599919984,3.1088898251236228,0.0
9467,0.02615141898289333,99.97999599919984,2.126619833701734,0.0
2058,0.21771256913780745,99.97999599919984,8.989746003638347,0.0
